text,intent,entities
order kemarin ada apa aja,tampilkan_transaksi_kemarin,waktu=kemarin
order pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
order tanggal 14,tampilkan_transaksi_tanggal,tanggal=14
p kabar,greeting,
pak andi bayar hutang 500000 cash,bayar_hutang,pelanggan=pak andi|nominal=500000|bayar=cash
pak andi bayar hutng 500000 csh,bayar_hutang,pelanggan=pak andi|nominal=500000|bayar=cash
pak andi beli apa saja,cek_pesanan_pelanggan,pelanggan=pak andi
pak budi bayar cicilan 200000 tunai,bayar_hutang,pelanggan=pak budi|nominal=200000|bayar=tunai
pak budi bayar ciciln 200000 tuni,bayar_hutang,pelanggan=pak budi|nominal=200000|bayar=tunai
pak doni bayar 100000 cash,bayar_hutang,pelanggan=pak doni|nominal=100000|bayar=cash
pak hendra bayar tagihan 750000 cash,bayar_hutang,pelanggan=pak hendra|nominal=750000|bayar=cash
pak joko bayar cicilan 150000 langsung,bayar_hutang,pelanggan=pak joko|nominal=150000|bayar=langsung
pak rudi bayar sisa 300000 transfer,bayar_hutang,pelanggan=pak rudi|nominal=300000|bayar=transfer
pak soni bayar hutang 3000000 tf,bayar_hutang,pelanggan=pak soni|nominal=3000000|bayar=transfer
pak wahyu lunasi tagihan 500000 tunai,bayar_hutang,pelanggan=pak wahyu|nominal=500000|bayar=tunai
pak zio udah bayar 27 juta transfer,bayar_hutang,pelanggan=pak zio|nominal=27000000|bayar=transfer
pelanggan paling banyak beli,pembeli_terbanyak,
pelanggan terbanyak,pembeli_terbanyak,
pemasukan kemarin,total_uang_masuk,waktu=kemarin
pembeli paling banyak hari ini,pembeli_terbanyak,waktu=hari ini
pembeli yang bayar transfer,filter_bayar_transfer,bayar=transfer
pembeli yang bayar tunai,filter_bayar_cash,bayar=tunai
pembelian hari ini,tampilkan_transaksi_hari_ini,
pembelian kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
pendapatan hari ini,total_uang_masuk,waktu=hari ini
penjualan 21 april 2026,tampilkan_transaksi_tanggal,tanggal=21-04-2026
penjualan hari ini,tampilkan_transaksi_hari_ini,
penjualan hari ini ada berapa,cek_penjualan_hari_ini,
penjualan hari ini bagaimana,cek_penjualan_hari_ini,
penjualan hari ini gimana,cek_penjualan_hari_ini,
penjualan kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
penjualan tanggal 25,tampilkan_transaksi_tanggal,tanggal=25
perbaharui harga barang,edit_produk,
perbaharui order pak hendra,update_transaksi,pelanggan=pak hendra
perbaharui pesanan pak naha,update_transaksi,pelanggan=pak naha
perbaharui transaksi zio,update_transaksi,pelanggan=zio
perbahrui pesnan pak naha,update_transaksi,pelanggan=pak naha
perbahrui transaksi zio,update_transaksi,pelanggan=zio
perbarui pesanan ibu sari,update_transaksi,pelanggan=ibu sari
permisi,greeting,
pesanan ibu sari,cek_pesanan_pelanggan,pelanggan=ibu sari
pesanan pak ardi,cek_pesanan_pelanggan,pelanggan=pak ardi
pesanan pak budi,cek_pesanan_pelanggan,pelanggan=pak budi
pesnan pak ardi,cek_pesanan_pelanggan,pelanggan=pak ardi
piutang pelanggan,filter_belum_lunas,
produk apa saja,tampilkan_produk,
produk paling mahal,cek_harga_produk_spesifik,filter=tertinggi
produk termahal,cek_harga_produk_spesifik,filter=tertinggi
produk termurah,cek_harga_produk_spesifik,filter=terendah
ranking pembeli,pembeli_terbanyak,
rekap hari ini,tampilkan_transaksi_hari_ini,
rekap kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
rekap penjualan hari ini,cek_penjualan_hari_ini,
rekap pnjualan hri ini,cek_penjualan_hari_ini,
rekap semua transaksi,tampilkan_semua_transaksi,
rekap tanggal 10,tampilkan_transaksi_tanggal,tanggal=10
rekap uang masuk,total_uang_masuk,
remove produk roti pia,hapus_produk,produk=roti pia
ringkasan penjualan hari ini,cek_penjualan_hari_ini,
riwayat penjualan semua,tampilkan_semua_transaksi,
riwayat pesanan pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
salam,greeting,
salam kenal,greeting,
selamat malam,greeting,
selamat pagi,greeting,
selamat siang,greeting,
selamat sore,greeting,
semua transaksi ada apa aja,tampilkan_semua_transaksi,
show semua transaksi,tampilkan_semua_transaksi,
siapa bayar di tempat,filter_bayar_cash,bayar=langsung
siapa beli hari ini,tampilkan_transaksi_hari_ini,
siapa cicilan terbesar,hutang_terbanyak,
siapa hutang terbanyak,hutang_terbanyak,
siapa hutng trbanyak,hutang_terbanyak,
siapa masih ada cicilan,filter_belum_lunas,
siapa pembeli paling banyak hari ini,pembeli_terbanyak,waktu=hari ini
siapa pembeli terbanyak,pembeli_terbanyak,
siapa pembeli terbanyak hari ini,pembeli_terbanyak,waktu=hari ini
siapa pembeli terbanyak kemarin,pembeli_terbanyak,waktu=kemarin
siapa pembeli terbesar,pembeli_terbanyak,
siapa pesan barang hari ini,tampilkan_transaksi_hari_ini,
siapa punya hutang paling besar,hutang_terbanyak,
siapa tggakn paling banyak,hutang_terbanyak,
siapa transaksi terbanyak hari ini,pembeli_terbanyak,waktu=hari ini
siapa tunggakan paling banyak,hutang_terbanyak,
siapa yang ambil barang hari ini,tampilkan_transaksi_hari_ini,
siapa yang bayar cash,filter_bayar_cash,bayar=cash
siapa yang bayar langsung,filter_bayar_cash,bayar=langsung
siapa yang bayar transfer,filter_bayar_transfer,bayar=transfer
siapa yang bayar tunai,filter_bayar_cash,bayar=tunai
siapa yang beli hari ini,tampilkan_transaksi_hari_ini,
siapa yang beli kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
siapa yang belum bayar,filter_belum_lunas,
siapa yang belum lunas,filter_belum_lunas,
siapa yang cicilan,filter_belum_lunas,
siapa yang kontan,filter_bayar_cash,bayar=kontan
siapa yang masih hutang,filter_belum_lunas,
siapa yang masih nyicil,filter_belum_lunas,
siapa yang masih punya hutang,filter_belum_lunas,
siapa yang order hari ini,tampilkan_transaksi_hari_ini,
siapa yang order kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
siapa yang paling banyak cicilan,hutang_terbanyak,
siapa yang paling banyak hutang,hutang_terbanyak,
siapa yang paling banyak order,pembeli_terbanyak,
siapa yang paling banyak pesan,pembeli_terbanyak,
siapa yang paling banyak tunggakan,hutang_terbanyak,
siapa yang pesan hari ini,tampilkan_transaksi_hari_ini,
siapa yang tf,filter_bayar_transfer,bayar=transfer
siapa yg bayar cash,filter_bayar_cash,bayar=cash
siapa yg bayar lgsung,filter_bayar_cash,bayar=langsung
siapa yg bayar transfr,filter_bayar_transfer,bayar=transfer
siapa yg bayar tuni,filter_bayar_cash,bayar=tunai
siapa yg blm bayar,filter_belum_lunas,
siapa yg msh hutang,filter_belum_lunas,
siapa yg msh nyicil,filter_belum_lunas,
siapa yg order hri ini,tampilkan_transaksi_hari_ini,
siapa yg paling banyak order hri ini,pembeli_terbanyak,waktu=hari ini
siapa yg pesan hri ini,tampilkan_transaksi_hari_ini,
summary penjualan hari ini,cek_penjualan_hari_ini,
tagihan hari ini berapa,total_tagihan,waktu=hari ini
tagihan pelanggan,total_tagihan,
tambah barang,tambah_produk,
tambah barang baru,tambah_produk,
tambah barang brownis harga 2500 per bungkus,tambah_produk,produk=brownis|harga=2500|satuan=bungkus
tambah barang brownis harga 2500 per toples,tambah_produk,produk=brownis|harga=2500|satuan=toples
tambah barang permen cokalat,tambah_produk,barang=Permen Coklat
tambah barang permen coklat,tambah_produk,produk=permen coklat
tambah barang prmen cklat harga 13.000,tambah_produk,produk=permen coklat|harga=13000
tambah barang produk permen coklat,tambah_produk,produk=permen coklat
tambah barang roti pia bulus,tambah_produk,produk=roti pia bulus
tambah produk baru,tambah_produk,
tambah produk brownis harga 2.500,tambah_produk,produk=brownis|harga=2500
tambah produk permen cokalat,tambah_produk,produk=permen coklat
tambah produk permen coklat harga 13.000,tambah_produk,barang=Permen Coklat|harga=13000
tambah produk permen coklat harga 13000,tambah_produk,produk=permen coklat|harga=13000
tambahkan barang brownis harga 2500,tambah_produk,produk=brownis|harga=2500
tambahkan produk permen coklat harga 13000,tambah_produk,produk=permen coklat|harga=13000
tampil semua transaksi,tampilkan_semua_transaksi,
tampilan data penjualan kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
tampilan semua transaksi,tampilkan_semua_transaksi,
tampilan semua transaksi pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
tampilan smua transaksi,tampilkan_semua_transaksi,
tampilin data penjualan,tampilkan_semua_transaksi,
tampilin semua transaksi,tampilkan_semua_transaksi,
tampilin transaksi hri ini,tampilkan_transaksi_hari_ini,
tampilin transaksi kmarin,tampilkan_transaksi_kemarin,waktu=kemarin
tampilkan barang,tampilkan_produk,
tampilkan daftar harga barang,tampilkan_produk,
tampilkan daftar hutang,filter_belum_lunas,
tampilkan daftar transaksi,tampilkan_semua_transaksi,
tampilkan data penjualan,tampilkan_semua_transaksi,
tampilkan data penjualan kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
tampilkan harga barang,tampilkan_produk,
tampilkan harga brownis,cek_harga_produk_spesifik,produk=brownis
tampilkan harga produk,tampilkan_produk,
tampilkan hutang terbesar,hutang_terbanyak,
tampilkan jumlah pesanan dari pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
tampilkan katalog produk,tampilkan_produk,
tampilkan pemasukan hari ini,total_uang_masuk,waktu=hari ini
tampilkan penjualan tanggal 21 april,tampilkan_transaksi_tanggal,tanggal=21 april
tampilkan pesanan pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
tampilkan piutang,filter_belum_lunas,
tampilkan produk,tampilkan_produk,
tampilkan rekap penjualan,tampilkan_semua_transaksi,
tampilkan riwayat transaksi,tampilkan_semua_transaksi,
tampilkan seluruh transaksi,tampilkan_semua_transaksi,
tampilkan semua barang,tampilkan_produk,
tampilkan semua daftar penjualan,tampilkan_semua_transaksi,
tampilkan semua data,tampilkan_semua_transaksi,
tampilkan semua penjualan,tampilkan_semua_transaksi,
tampilkan semua produk,tampilkan_produk,
tampilkan semua transaksi,tampilkan_semua_transaksi,
tampilkan semua transaksi pak andi,cek_pesanan_pelanggan,pelanggan=pak andi
tampilkan smua brg,tampilkan_produk,
tampilkan smua prduk,tampilkan_produk,
tampilkan tagihan,total_tagihan,
tampilkan total transaksi hari ini,total_transaksi,waktu=hari ini
tampilkan transaksi cash,filter_bayar_cash,bayar=cash
tampilkan transaksi hari ini,tampilkan_transaksi_hari_ini,
tampilkan transaksi pak joko,cek_pesanan_pelanggan,pelanggan=pak joko
tampilkan transaksi tanggal 28,tampilkan_transaksi_tanggal,tanggal=28
tampilkan transaksi tgl 28,tampilkan_transaksi_tanggal,tanggal=28
tampilkan transaksi transfer,filter_bayar_transfer,bayar=transfer
tampilkan tunggakan,total_tunggakan,
tampilkan uang masuk kemarin,total_uang_masuk,waktu=kemarin
tampilkan yang bayar cash,filter_bayar_cash,bayar=cash
tampilkan yang bayar transfer,filter_bayar_transfer,bayar=transfer
tampilkan yang belum lunas,filter_belum_lunas,
tamplkan semua transaksi,tampilkan_semua_transaksi,
tanggal 21 ada transaksi apa,tampilkan_transaksi_tanggal,tanggal=21
tanggal 28 ada order apa,tampilkan_transaksi_tanggal,tanggal=28
tgl 21 siapa yang beli,tampilkan_transaksi_tanggal,tanggal=21
top pembeli,pembeli_terbanyak,
total cash masuk hari ini,total_uang_masuk,waktu=hari ini|bayar=cash
total cicilan,total_tunggakan,
total cicilan penjualan hari ini,total_tunggakan,waktu=hari ini
total hutang,total_tunggakan,
total order hari ini,total_transaksi,waktu=hari ini
total pemasukan,total_uang_masuk,
total pembelian hari ini,total_transaksi,waktu=hari ini
total pendapatan hari ini,total_uang_masuk,waktu=hari ini
total pesanan pak budi,cek_pesanan_pelanggan,pelanggan=pak budi
total piutang,total_tagihan,
total tagihan,total_tagihan,
total tagihan hari ini,total_tagihan,waktu=hari ini
total transaksi,total_transaksi,
total transaksi hari ini,total_transaksi,waktu=hari ini
total transaksi kemarin,total_transaksi,waktu=kemarin
total transaksi minggu ini,total_transaksi,waktu=minggu ini
total transfer masuk hari ini,total_uang_masuk,waktu=hari ini|bayar=transfer
total tunggakan,total_tunggakan,
total tunggakan hari ini,total_tunggakan,waktu=hari ini
total uang masuk,total_uang_masuk,
transaksi hari ini apa saja,tampilkan_transaksi_hari_ini,
transaksi hri ini,tampilkan_transaksi_hari_ini,
transaksi kemarin,tampilkan_transaksi_kemarin,waktu=kemarin
transaksi tanggal 20,tampilkan_transaksi_tanggal,tanggal=20
transaksi tanggal 21 bulan 4,tampilkan_transaksi_tanggal,tanggal=21 bulan 4
transaksi tgl 20,tampilkan_transaksi_tanggal,tanggal=20
tunggakan hari ini,total_tunggakan,waktu=hari ini
tunggakan terbesar siapa,hutang_terbanyak,
uang masuk hari ini berapa,total_uang_masuk,waktu=hari ini
uang masuk kemarin,total_uang_masuk,waktu=kemarin
ubah data pesanan pak wahyu,update_transaksi,pelanggan=pak wahyu
ubah harga barang,edit_produk,
ubah harga permen,edit_produk,produk=permen
ubah harga produk,edit_produk,
ubah nama produk,edit_produk,
ubah order pak doni,update_transaksi,pelanggan=pak doni
ubah pesanan pak naha,update_transaksi,pelanggan=pak naha
ubah pesnan pak naha,update_transaksi,pelanggan=pak naha
ubah produk permen,edit_produk,produk=permen
ubah transaksi pak andi,update_transaksi,pelanggan=pak andi
update data pesnan naha,update_transaksi,pelanggan=naha
update harga barang,edit_produk,
update harga permen,edit_produk,produk=permen
update harga produk,edit_produk,
update nama produk,edit_produk,
update penjualan hari ini,cek_penjualan_hari_ini,
update pesanan naha,update_transaksi,pelanggan=naha
update produk roti pia,edit_produk,produk=roti pia
update transaksi pak rudi,update_transaksi,pelanggan=pak rudi
yang bayar cash siapa,filter_bayar_cash,bayar=cash
yang bayar transfer siapa,filter_bayar_transfer,bayar=transfer
yang belum bayar siapa,filter_belum_lunas,
yang paling sering beli siapa,pembeli_terbanyak,
yg bayar transfr siapa,filter_bayar_transfer,bayar=transfer
zio bayar hutang 27000000 transfer,bayar_hutang,pelanggan=zio|nominal=27000000|bayar=transfer
zio bayar hutng 27000000 transfr,bayar_hutang,pelanggan=zio|nominal=27000000|bayar=transfer
zio bayar taghn 27 juta,bayar_hutang,pelanggan=zio|nominal=27000000
zio bayar tagihan 27 juta,bayar_hutang,pelanggan=zio|nominal=27000000
zio transfer 27 jt buat lunasin hutang,bayar_hutang,pelanggan=zio|nominal=27000000|bayar=transfer
hari ini andi pesan l0lipop 10 dus, tambah_transaksi_lunas_cash,pelanggan=andi|produk=lolipop|jumlah=10|satuan=dus
hari ini budi pesan loli pop 5 toples, tambah_transaksi_lunas_cash,pelanggan=budi|produk=lolipop|jumlah=5|satuan=toples
hari ini nala pesan lolly pop 8 pack, tambah_transaksi_lunas_cash,pelanggan=nala|produk=lolipop|jumlah=8|satuan=pack
hari ini rara pesan l0llip0p 12 pcs, tambah_transaksi_lunas_cash,pelanggan=rara|produk=lolipop|jumlah=12|satuan=pcs
hari ini zio pesan lolypop 6 bungkus, tambah_transaksi_lunas_cash,pelanggan=zio|produk=lolipop|jumlah=6|satuan=bungkus
berapa harga l0lipop, cek_harga_produk_spesifik,produk=lolipop
berapa harga loli pop, cek_harga_produk_spesifik,produk=lolipop
berapa harga lolly pop, cek_harga_produk_spesifik,produk=lolipop
tambah barang l0lipop harga 15000 per pack, tambah_produk,produk=lolipop|harga=15000|satuan=pack
edit harga l0lipop jadi 16000, edit_produk,produk=lolipop|harga_baru=16000
hapus barang l0lipop, hapus_produk,produk=lolipop
pak budi ambil willo 2 toples,tambah_transaksi_lunas_cash,pelanggan=pak budi|produk=willo|jumlah=2|satuan=toples
naha beli beem-beeng 1 karton,tambah_transaksi_lunas_cash,pelanggan=naha|produk=beem-beeng|jumlah=1|satuan=karton
adangrow 5 pouch,tambah_transaksi_lunas_cash,produk=adangrow|jumlah=5|satuan=pouch
siperquuen 10 pack,tambah_transaksi_lunas_cash,produk=siperquuen|jumlah=10|satuan=pack
chocholetus 3 toples lunas,tambah_transaksi_lunas_cash,produk=chocholetus|jumlah=3|satuan=toples|status=lunas
miksu 1 paket,tambah_transaksi_lunas_cash,produk=miksu|jumlah=1|satuan=paket
lolipop 50 pcs,tambah_transaksi_lunas_cash,produk=lolipop|jumlah=50|satuan=pcs
coklat kubus 5 toples,tambah_transaksi_lunas_cash,produk=coklat kubus|jumlah=5|satuan=toples
piramide 2 dus,tambah_transaksi_lunas_cash,produk=piramide|jumlah=2|satuan=dus
mesis 10 bungkus,tambah_transaksi_lunas_cash,produk=mesis|jumlah=10|satuan=bungkus
salju 1 toples,tambah_transaksi_lunas_cash,produk=salju|jumlah=1|satuan=toples
serbuk jelli 5 pouch,tambah_transaksi_lunas_cash,produk=serbuk jelli|jumlah=5|satuan=pouch
pia bulus 2 toples,tambah_transaksi_lunas_cash,produk=pia bulus|jumlah=2|satuan=toples
pia roda 1 ctn,tambah_transaksi_lunas_cash,produk=pia roda|jumlah=1|satuan=karton
hari ini andi ambil permen 3 dus lunas transfer,tambah_transaksi_lunas_transfer,pelanggan=Andi|barang=Permen|jumlah=3|satuan=dus|status=Lunas|metode=Transfer
hari ini budi beli brownis 10 bungkus lunas tf,tambah_transaksi_lunas_transfer,pelanggan=Budi|barang=Brownis|jumlah=10|satuan=bungkus|status=Lunas|metode=Transfer
pak ardi pesan serbuk 2 karton sudah dibayar transfer,tambah_transaksi_lunas_transfer,pelanggan=Ardi|barang=Serbuk|jumlah=2|satuan=karton|status=Lunas|metode=Transfer
rara order permen coklat 5 dus dibayar qris,tambah_transaksi_lunas_transfer,pelanggan=Rara|barang=Permen Coklat|jumlah=5|satuan=dus|status=Lunas|metode=QRIS
udin ambil permen 1 dus lunas via qris,tambah_transaksi_lunas_transfer,pelanggan=Udin|barang=Permen|jumlah=1|satuan=dus|status=Lunas|metode=QRIS
nala ambil roti pia 2 toples sudah lunas transfer bca,tambah_transaksi_lunas_transfer,pelanggan=Nala|barang=Roti Pia|jumlah=2|satuan=toples|status=Lunas|metode=Transfer
mas dodi beli mesis 4 bungkus bayar trf,tambah_transaksi_lunas_transfer,pelanggan=Dodi|barang=Mesis|jumlah=4|satuan=bungkus|status=Lunas|metode=Transfer
kak rina order salju 1 toples lunas transfer,tambah_transaksi_lunas_transfer,pelanggan=Rina|barang=Salju|jumlah=1|satuan=toples|status=Lunas|metode=Transfer
zio ambil pia bulus 1 toples lunas qris,tambah_transaksi_lunas_transfer,pelanggan=Zio|barang=Pia Bulus|jumlah=1|satuan=toples|status=Lunas|metode=QRIS
hari ini sinta beli lolipop 20 pcs dibayar transfer,tambah_transaksi_lunas_transfer,pelanggan=Sinta|barang=Lolipop|jumlah=20|satuan=pcs|status=Lunas|metode=Transfer
hari ini akbar pesan coklat kubus 2 toples lunas tf,tambah_transaksi_lunas_transfer,pelanggan=Akbar|barang=Coklat Kubus|jumlah=2|satuan=toples|status=Lunas|metode=Transfer
hari ini iwan ambil serbuk jelli 6 pouch lunas transfer bri,tambah_transaksi_lunas_transfer,pelanggan=Iwan|barang=Serbuk Jelli|jumlah=6|satuan=pouch|status=Lunas|metode=Transfer
pak agus ambil permen 2 dus dibayar transfer mandiri,tambah_transaksi_lunas_transfer,pelanggan=Agus|barang=Permen|jumlah=2|satuan=dus|status=Lunas|metode=Transfer
hari ini dini beli permen 10 pcs lunas trf,tambah_transaksi_lunas_transfer,pelanggan=Dini|barang=Permen|jumlah=10|satuan=pcs|status=Lunas|metode=Transfer
hari ini rudi pesan piramide 1 dus sudah dibayar qris,tambah_transaksi_lunas_transfer,pelanggan=Rudi|barang=Piramide|jumlah=1|satuan=dus|status=Lunas|metode=QRIS
hari ini andi order permen 30 toples dicicil 200000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Andi|barang=Permen|jumlah=30|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Transfer
hari ini budi ambil brownis 20 bungkus dp 150000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Budi|barang=Brownis|jumlah=20|satuan=bungkus|status=Cicil|nominal_bayar=150000|metode=Transfer
nala pesan permen 10 dus dicicil 500000 dibayar transfer,tambah_transaksi_cicilan_transfer,pelanggan=Nala|barang=Permen|jumlah=10|satuan=dus|status=Cicil|nominal_bayar=500000|metode=Transfer
rara ambil permen coklat 4 dus uang muka 100000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Rara|barang=Permen Coklat|jumlah=4|satuan=dus|status=Cicil|nominal_bayar=100000|metode=Transfer
udin order serbuk 2 karton nyicil 250000 trf,tambah_transaksi_cicilan_transfer,pelanggan=Udin|barang=Serbuk|jumlah=2|satuan=karton|status=Cicil|nominal_bayar=250000|metode=Transfer
hari ini zio ambil roti pia 3 toples dicicil 120000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Zio|barang=Roti Pia|jumlah=3|satuan=toples|status=Cicil|nominal_bayar=120000|metode=Transfer
pak ardi pesan mesis 8 bungkus bayar dp 50000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Ardi|barang=Mesis|jumlah=8|satuan=bungkus|status=Cicil|nominal_bayar=50000|metode=Transfer
hari ini sinta ambil salju 2 toples bayar sebagian 70000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Sinta|barang=Salju|jumlah=2|satuan=toples|status=Cicil|nominal_bayar=70000|metode=Transfer
hari ini iwan order permen 100 pcs dicicil 100000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Iwan|barang=Permen|jumlah=100|satuan=pcs|status=Cicil|nominal_bayar=100000|metode=Transfer
akbar pesan pia bulus 5 toples dp 200000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Akbar|barang=Pia Bulus|jumlah=5|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Transfer
dini ambil coklat kubus 2 toples dicicil 80000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Dini|barang=Coklat Kubus|jumlah=2|satuan=toples|status=Cicil|nominal_bayar=80000|metode=Transfer
hari ini rudi order piramide 3 dus dicicil 300000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Rudi|barang=Piramide|jumlah=3|satuan=dus|status=Cicil|nominal_bayar=300000|metode=Transfer
hari ini agus order permen 40 pcs dicicil setengah 200000 transfer,tambah_transaksi_cicilan_transfer,pelanggan=Agus|barang=Permen|jumlah=40|satuan=pcs|status=Cicil|nominal_bayar=200000|metode=Transfer
hari ini andi order permen 30 toples dicicil 200000 tunai,tambah_transaksi_cicilan_cash,pelanggan=Andi|barang=Permen|jumlah=30|satuan=toples|status=Cicil|nominal_bayar=200000|metode=Tunai
hari ini budi ambil brownis 20 bungkus dp 150000 cash,tambah_transaksi_cicilan_cash,pelanggan=Budi|barang=Brownis|jumlah=20|satuan=bungkus|status=Cicil|nominal_bayar=150000|metode=Tunai
nala pesan permen 10 dus dicicil 500000 dibayar tunai,tambah_transaksi_cicilan_cash,pelanggan=Nala|barang=Permen|jumlah=10|satuan=dus|status=Cicil|nominal_bayar=500000|metode=Tunai
rara ambil permen coklat 4 dus uang muka 100000 tunai,tambah_transaksi_cicilan_cash,pelanggan=Rara|barang=Permen Coklat|jumlah=4|satuan=dus|status=Cicil|nominal_bayar=100000|metode=Tunai
udin order serbuk 2 karton nyicil 250000 tunai,tambah_transaksi_cicilan_cash,pelanggan=Udin|barang=Serbuk|jumlah=2|satuan=karton|status=Cicil|nominal_bayar=250000|metode=Tunai
hari ini zio ambil roti pia 3 toples dicicil 120000 tunai,tambah_transaksi_cicilan_cash,pelanggan=Zio|barang=Roti Pia|jumlah=3|satuan=toples|status=Cicil|nominal_bayar=120000|metode=Tunai
